date_time_utc,age,inst_kw,cum_kwh
2016-12-01T05:15:00Z,NA,12,249883.941
2016-12-01T05:30:00Z,NA,12,249883.943
2016-12-01T05:45:00Z,NA,12,249883.945
2016-12-01T06:00:00Z,NA,12,249883.946
2016-12-01T06:15:00Z,NA,12,249883.948
2016-12-01T06:30:00Z,NA,12,249883.95
2016-12-01T06:45:00Z,NA,12,249883.952
2016-12-01T07:00:00Z,NA,12,249883.954
2016-12-01T07:15:00Z,NA,12,249883.956
2016-12-01T07:30:00Z,NA,12,249883.957
2016-12-01T07:45:00Z,NA,12,249883.959
2016-12-01T08:00:00Z,NA,12,249883.961
2016-12-01T08:15:00Z,NA,12,249883.964
2016-12-01T08:30:00Z,NA,12,249883.965
2016-12-01T08:45:00Z,NA,12,249883.967
2016-12-01T09:00:00Z,NA,12,249883.969
2016-12-01T09:15:00Z,NA,12,249883.971
2016-12-01T09:30:00Z,NA,12,249883.973
2016-12-01T09:45:00Z,NA,12,249883.975
2016-12-01T10:00:00Z,NA,12,249883.976
2016-12-01T10:15:00Z,NA,12,249883.978
2016-12-01T10:30:00Z,NA,12,249883.981
2016-12-01T10:45:00Z,NA,12,249883.984
2016-12-01T11:00:00Z,NA,12,249883.987
2016-12-01T11:15:00Z,NA,12,249883.99
2016-12-01T11:30:00Z,NA,12,249883.992
2016-12-01T11:45:00Z,NA,12,249883.995
2016-12-01T12:00:00Z,NA,12,249883.997
2016-12-01T12:15:00Z,NA,152,249884.004
2016-12-01T12:30:00Z,NA,616,249884.118
2016-12-01T12:45:00Z,NA,2520,249884.554
2016-12-01T13:00:00Z,NA,2456,249885.282
2016-12-01T13:15:00Z,NA,3612,249886.004
2016-12-01T13:30:00Z,NA,5564,249887.153
2016-12-01T13:45:00Z,NA,7724,249889.006
2016-12-01T14:00:00Z,NA,10624,249891.121
2016-12-01T14:15:00Z,NA,16696,249894.94
2016-12-01T14:30:00Z,NA,8252,249897.914
2016-12-01T14:45:00Z,NA,13884,249900.888
2016-12-01T15:00:00Z,NA,22164,249905.676
2016-12-01T15:15:00Z,NA,23928,249911.514
2016-12-01T15:30:00Z,NA,25112,249917.707
2016-12-01T15:45:00Z,NA,26444,249924.236
2016-12-01T16:00:00Z,NA,27320,249931.008
2016-12-01T16:15:00Z,NA,28132,249937.997
2016-12-01T16:30:00Z,NA,29104,249945.16
2016-12-01T16:45:00Z,NA,29932,249952.641
2016-12-01T17:00:00Z,NA,28844,249959.914
2016-12-01T17:15:00Z,NA,27684,249967.115
2016-12-01T17:30:00Z,NA,26820,249973.682
2016-12-01T17:45:00Z,NA,18396,249979.457
2016-12-01T18:00:00Z,NA,6872,249981.647
2016-12-01T18:15:00Z,NA,7252,249983.593
2016-12-01T18:30:00Z,NA,5456,249984.966
2016-12-01T18:45:00Z,NA,5376,249986.365
2016-12-01T19:00:00Z,NA,2688,249987.225
2016-12-01T19:15:00Z,NA,1948,249987.753
2016-12-01T19:30:00Z,NA,1968,249988.237
2016-12-01T19:45:00Z,NA,1400,249988.648
2016-12-01T20:00:00Z,NA,2108,249989.057
2016-12-01T20:15:00Z,NA,1836,249989.59
2016-12-01T20:30:00Z,NA,1108,249989.921
2016-12-01T20:45:00Z,NA,804,249990.15
2016-12-01T21:00:00Z,NA,500,249990.281
2016-12-01T21:15:00Z,NA,288,249990.387
2016-12-01T21:30:00Z,NA,24,249990.403
2016-12-01T21:45:00Z,NA,12,249990.405
2016-12-01T22:00:00Z,NA,12,249990.406
2016-12-01T22:15:00Z,NA,12,249990.408
2016-12-01T22:30:00Z,NA,12,249990.41
2016-12-01T22:45:00Z,NA,12,249990.412
2016-12-01T23:00:00Z,NA,12,249990.414
2016-12-01T23:15:00Z,NA,12,249990.415
2016-12-01T23:30:00Z,NA,12,249990.417
2016-12-01T23:45:00Z,NA,12,249990.418
2016-12-02T00:00:00Z,NA,12,249990.421
2016-12-02T00:15:00Z,NA,12,249990.423
2016-12-02T00:30:00Z,NA,12,249990.424
2016-12-02T00:45:00Z,NA,12,249990.426
2016-12-02T01:00:00Z,NA,12,249990.428
2016-12-02T01:15:00Z,NA,12,249990.429
2016-12-02T01:30:00Z,NA,12,249990.432
2016-12-02T01:45:00Z,NA,12,249990.434
2016-12-02T02:00:00Z,NA,12,249990.435
2016-12-02T02:15:00Z,NA,12,249990.437
2016-12-02T02:30:00Z,NA,12,249990.439
2016-12-02T02:45:00Z,NA,12,249990.441
2016-12-02T03:00:00Z,NA,12,249990.442
2016-12-02T03:15:00Z,NA,12,249990.445
2016-12-02T03:30:00Z,NA,12,249990.446
2016-12-02T03:45:00Z,NA,12,249990.448
2016-12-02T04:00:00Z,NA,12,249990.45
2016-12-02T04:15:00Z,NA,12,249990.452
2016-12-02T04:30:00Z,NA,12,249990.454
2016-12-02T04:45:00Z,NA,12,249990.456
2016-12-02T05:00:00Z,NA,12,249990.457
2016-12-02T05:15:00Z,NA,12,249990.459
2016-12-02T05:30:00Z,NA,12,249990.461
2016-12-02T05:45:00Z,NA,12,249990.463
2016-12-02T06:00:00Z,NA,12,249990.465
