date_time_utc,age,inst_kw,cum_kwh
2014-07-28T18:30:00Z,NA,24.59,4430.67
2014-07-28T18:45:00Z,NA,60.52,4478.88
2014-07-28T19:00:00Z,NA,56.78,4531.04
2014-07-28T19:15:00Z,NA,55.39,4577.05
2014-07-28T19:30:00Z,NA,15.17,4625.75
2014-07-28T19:45:00Z,NA,20.73,4668.31
2014-07-28T20:00:00Z,NA,15.45,4693.66
2014-07-28T20:15:00Z,NA,53.92,4716.06
2014-07-28T20:30:00Z,NA,31.21,4741.57
2014-07-28T20:45:00Z,NA,41.26,4775.23
2014-07-28T21:00:00Z,NA,11.87,4804.75
2014-07-28T21:15:00Z,NA,7.98,4815.41
2014-07-28T21:30:00Z,NA,6.96,4820.89
2014-07-28T21:45:00Z,NA,7.76,4830.26
2014-07-28T22:00:00Z,NA,27.17,4838.81
2014-07-28T22:15:00Z,NA,16.89,4857.47
2014-07-28T22:30:00Z,NA,12.07,4870.1
2014-07-28T22:45:00Z,NA,7.36,4878.75
2014-07-28T23:00:00Z,NA,2.16,4883.51
2014-07-28T23:15:00Z,NA,2.64,4885.4
2014-07-28T23:30:00Z,NA,1.54,4887.47
2014-07-28T23:45:00Z,NA,0.87,4888.5
2014-07-29T00:00:00Z,NA,0.22,4888.96
2014-07-29T00:15:00Z,NA,0.4,4889.25
2014-07-29T00:30:00Z,NA,0.33,4889.56
2014-07-29T00:45:00Z,NA,0.32,4889.85
2014-07-29T01:00:00Z,NA,0.32,4890.14
2014-07-29T01:15:00Z,NA,0.32,4890.44
2014-07-29T01:30:00Z,NA,0.32,4890.73
2014-07-29T01:45:00Z,NA,0.32,4891.03
2014-07-29T02:00:00Z,NA,0.32,4891.33
2014-07-29T02:15:00Z,NA,0.33,4891.63
2014-07-29T02:30:00Z,NA,0.33,4891.93
2014-07-29T02:45:00Z,NA,0.33,4892.22
2014-07-29T03:00:00Z,NA,0.32,4892.52
2014-07-29T03:15:00Z,NA,0.33,4892.82
2014-07-29T03:30:00Z,NA,0.33,4893.12
2014-07-29T03:45:00Z,NA,0.32,4893.41
2014-07-29T04:00:00Z,NA,0.33,4893.71
2014-07-29T04:15:00Z,NA,0.33,4894.01
2014-07-29T04:30:00Z,NA,0.33,4894.31
2014-07-29T04:45:00Z,NA,0.33,4894.61
2014-07-29T05:00:00Z,NA,0.33,4894.91
2014-07-29T05:15:00Z,NA,0.33,4895.21
2014-07-29T05:30:00Z,NA,0.33,4895.51
2014-07-29T05:45:00Z,NA,0.33,4895.8
